stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3,3,D @ Alexander (N),,36.193992,-115.147338,,,,,,0
6,6,D @ Frederick (S),,36.192131,-115.147489,,,,,,0
9,9,D @ Kasper (S),,36.194894,-115.147512,,,,,,0
10,10,D @ Madison (N),,36.184298,-115.146999,,,,,,0
11,11,D @ Monroe (S),,36.184607,-115.147156,,,,,,0
12,12,D @ Owens (N),,36.188311,-115.147154,,,,,,0
13,13,D @ Owens (S),,36.188244,-115.147288,,,,,,0
14,14,D @ Paul (N),,36.190482,-115.147273,,,,,,0
16,16,D @ Jefferson (N),,36.182591,-115.146925,,,,,,0
17,17,H @ Bonanza (N),,36.17789,-115.151745,,,,,,0
18,18,H @ Byrnes (N),,36.192243,-115.151742,,,,,,0
19,19,H @ Doolittle (S),,36.191834,-115.151929,,,,,,0
21,21,H @ Lake Mead (S),,36.195388,-115.152018,,,,,,0
23,23,H @ McWilliams (S),,36.17889,-115.152018,,,,,,0
24,24,H @ Monroe (S),,36.185191,-115.151982,,,,,,0
25,25,H @ Monroe (N),,36.185468,-115.151788,,,,,,0
28,28,H @ Harrison (N),,36.187723,-115.151839,,,,,,0
29,29,H @ Owens (S),,36.187959,-115.152057,,,,,,0
30,30,H @ Washington (N),,36.181027,-115.151748,,,,,,0
31,31,H @ Washington (S),,36.180382,-115.151941,,,,,,0
34,34,4th @ Fremont (N),,36.169247,-115.141989,,,,,,0
35,35,4th @ Bonneville (N),,36.164434,-115.145195,,,,,,0
36,36,4th @ Lewis (N),,36.166877,-115.143559,,,,,,0
39,39,Adams @ Buchanan (E),,35.96831,-114.843729,,,,,,0
40,40,Adams @ Avenue B (E),,35.968609,-114.836638,,,,,,0
41,41,Adams @ Georgia (E),,35.968919,-114.8308,,,,,,0
42,42,Adams @ San Felipe (E),,35.96913,-114.82686,,,,,,0
50,50,Alta @ Altamira (W),,36.166601,-115.25647,,,,,,0
52,52,Alta @ Antelope (W),,36.166598,-115.25174,,,,,,0
55,55,Alta @ Brush (E),,36.165968,-115.209335,,,,,,0
56,56,Alta @ Campbell (W),,36.166329,-115.182689,,,,,,0
57,57,Alta @ Campbell (E),,36.166218,-115.183624,,,,,,0
61,61,Alta @ Cimarron (W),,36.166509,-115.270496,,,,,,0
63,63,Alta @ Decatur (W),,36.166616,-115.206759,,,,,,0
67,67,Alta @ Falcon (W),,36.166091,-115.216066,,,,,,0
68,68,Bonneville @ Grand Central (E),,36.16665,-115.154545,,,,,,0
69,69,Bonneville @ Grand Central (W),,36.16665,-115.156544,,,,,,0
70,70,Alta @ Hussey (W),,36.166477,-115.229099,,,,,,0
71,71,Alta @ Brush (W),,36.166106,-115.20913,,,,,,0
72,72,Alta @ Jones (E),,36.166295,-115.223137,,,,,,0
73,73,Alta @ Jones (W),,36.16647,-115.224587,,,,,,0
76,76,Alta @ Lindy (E),,36.166338,-115.236674,,,,,,0
78,78,Bonneville @ Martin L King (E),,36.166154,-115.160139,,,,,,0
81,81,Alta @ Rainbow (E),,36.166363,-115.243415,,,,,,0
82,82,Alta @ Rainbow (W),,36.166568,-115.245119,,,,,,0
83,83,Alta @ Rancho (E),,36.166077,-115.171846,,,,,,0
84,84,Alta @ Rancho (W),,36.166216,-115.174276,,,,,,0
85,85,Alta @ Roland Wiley (W),,36.16651,-115.27388,,,,,,0
86,86,Alta @ Buffalo (W),,36.16664,-115.262007,,,,,,0
92,92,Alta @ Slayton (E),,36.166304,-115.226689,,,,,,0
95,95,Alta @ Torrey Pines (E),,36.166328,-115.232454,,,,,,0
96,96,Alta @ Torrey Pines (W),,36.166518,-115.233697,,,,,,0
97,97,Alta @ Upland (E),,36.165939,-115.216989,,,,,,0
98,98,Alta @ Valley View (E),,36.166155,-115.191447,,,,,,0
100,100,Alta @ Vassar (W),,36.166538,-115.239958,,,,,,0
101,101,Alta @ Lorenzi (E),,36.166354,-115.240177,,,,,,0
102,102,Alta @ Villa Monterrey (W),,36.166609,-115.265077,,,,,,0
114,114,Arizona @ California (W),,35.978319,-114.83457,,,,,,0
126,126,Arville @ Flamingo (N),,36.116067,-115.199293,,,,,,0
127,127,Arville @ Flamingo (S),,36.115009,-115.199508,,,,,,0
128,128,Arville @ Harmon (N),,36.109208,-115.199224,,,,,,0
129,129,Arville @ Harmon (S),,36.10755,-115.199447,,,,,,0
131,131,Arville @ Flamingo (S),,36.11174,-115.199465,,,,,,0
132,132,Arville @ Nevso (N),,36.112995,-115.19927,,,,,,0
133,133,Arville @ Tompkins (S),,36.10419,-115.199371,,,,,,0
